2026-05-25T20:35:38 | app | INFO | {"timestamp": "2026-05-25T15:05:38.286415", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:35:38 | app | INFO | {"timestamp": "2026-05-25T15:05:38.294287", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 27.26}
2026-05-25T20:35:38 | app | INFO | {"timestamp": "2026-05-25T15:05:38.316256", "event": "http_request", "method": "GET", "path": "/incidents/", "status_code": 200, "duration_ms": 7.26}
2026-05-25T20:36:05 | app | INFO | {"timestamp": "2026-05-25T15:06:05.948662", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:36:05 | app | INFO | {"timestamp": "2026-05-25T15:06:05.950777", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 8.02}
2026-05-25T20:36:05 | app | INFO | {"timestamp": "2026-05-25T15:06:05.969260", "event": "http_request", "method": "GET", "path": "/deployments/", "status_code": 200, "duration_ms": 7.41}
2026-05-25T20:36:14 | app | INFO | {"timestamp": "2026-05-25T15:06:14.931127", "event": "health_check_ok", "overall": "degraded"}
2026-05-25T20:36:14 | app | INFO | {"timestamp": "2026-05-25T15:06:14.934136", "event": "http_request", "method": "GET", "path": "/health/", "status_code": 200, "duration_ms": 10.21}
2026-05-25T20:36:14 | app | INFO | {"timestamp": "2026-05-25T15:06:14.955649", "event": "http_request", "method": "GET", "path": "/metrics/", "status_code": 200, "duration_ms": 4.48}
2026-05-25T20:36:14 | app | INFO | {"timestamp": "2026-05-25T15:06:14.965825", "event": "http_request", "method": "GET", "path": "/metrics/history", "status_code": 200, "duration_ms": 3.38}
